no,business-name,track-visit-website href,phones,locality,street-address,distance
1,Courtyard by Marriott,http://www.courtyard.com/,(305) 642-1049,"Miami, FL 33135",,
2,Holiday Inn,https://www.ihg.com/holidayinn/redirect?path=home&regionCode=1&localeCode=en&_PMID=99602381&setPMCookies=true&brandCode=HI&cm_mmc=mdpr-_-yellowpages-_-natpll-_-&glat=MEDI,(877) 654-0232,,,
3,Holiday Inn Express,https://www.ihg.com/holidayinnexpress/redirect?path=home&regionCode=1&localeCode=en&_PMID=99602381&setPMCookies=true&brandCode=EX&cm_mmc=mdpr-_-yellowpages-_-tile-_-&glat=MEDI,(877) 654-0232,,,
4,IHG Hotels & Resorts,https://www.ihg.com/redirect?path=home&regionCode=1&localeCode=en&_PMID=99602381&setPMCookies=true&brandCode=6C&cm_mmc=mdpr-_-yellowpages-_-platinum-_-&glat=MEDI,(877) 654-0232,,,
5,avid hotels,https://www.ihg.com/avidhotels/redirect?path=home&regionCode=1&localeCode=en&_PMID=99602381&setPMCookies=true&brandCode=VA&cm_mmc=mdpr-_-yellowpages-_-platinum-_-&glat=MEDI,(877) 654-0232,,,
6,Best Western Plus Miami Executive Airport Hotel & Suites,https://www.bestwestern.com/en_US/book/hotel-rooms.10398.html?iata=00171890&ssob=BLBWI0003G&cid=BLBWI0003G:yext:website:10398,(305) 969-1600,"Miami, FL 33186",13700 SW 139th Ct,2.3 miles
7,Erg Hotel Inc,,(305) 254-3003,"Miami, FL 33186",13700 SW 139th Ct,2.3 miles
8,Koala Tours And Transportation,http://koalatoursandtransportation.com/,(754) 265-6987,"Miami, FL 33138",,
9,Le Pavilion At Hotel Inter-Continental,,(305) 372-4494,"Miami, FL 33101",,
10,Biltmore Bar,http://www.biltmorehotel.com/dining/bar.php,(305) 445-1926,"Miami, FL 33125",,
11,Hotel Victor,http://www.hotelvictorsouthbeach.com/,(305) 779-8700,,,
12,Massaro Group Inc,,(844) 627-7276,"Miami Beach, FL 33139",,
13,Tres Palmas Inn,http://www.trespalmasinn.com/,(888) 290-2076,,,
14,Metro Hotel Couva,,(868) 221-5987,,,
